"Gene","Direction"
"57728_at","DOWN"
"1981_at","UP"
"22933_at","UP"
"6483_at","UP"
"10491_at","UP"
"4982_at","UP"
"4225_at","DOWN"
"100874231_at","DOWN"
"54788_at","UP"
"440944_at","DOWN"
"203522_at","DOWN"
"100131561_at","DOWN"
"57448_at","DOWN"
"112770_at","UP"
"677679_at","DOWN"
"10498_at","UP"
"9862_at","UP"
"23235_at","DOWN"
"100302164_at","DOWN"
"100616372_at","DOWN"
"55692_at","DOWN"
"4322_at","DOWN"
"51631_at","DOWN"
"8560_at","UP"
"65993_at","UP"
"26791_at","DOWN"
"4947_at","UP"
"10195_at","UP"
"23067_at","UP"
"693155_at","DOWN"
"253260_at","DOWN"
"10280_at","UP"
"28999_at","DOWN"
"78992_at","UP"
"54107_at","UP"
"10755_at","UP"
"2796_at","DOWN"
"767589_at","DOWN"
"902_at","DOWN"
"101928830_at","DOWN"
"10589_at","UP"
"10003_at","DOWN"
"101927084_at","DOWN"
"80024_at","UP"
"101928471_at","DOWN"
"373_at","DOWN"
"50840_at","DOWN"
"55125_at","DOWN"
"100422909_at","DOWN"
"410_at","UP"
"5694_at","UP"
"51455_at","DOWN"
"50839_at","DOWN"
"24138_at","DOWN"
"221078_at","DOWN"
"10808_at","DOWN"
"6328_at","DOWN"
"595_at","UP"
"57130_at","UP"
"51070_at","UP"
"5725_at","UP"
"101929540_at","DOWN"
"63891_at","UP"
"55914_at","DOWN"
"285512_at","DOWN"
"100873980_at","DOWN"
"10608_at","UP"
"54558_at","DOWN"
"57479_at","UP"
"3054_at","UP"
"26137_at","DOWN"
"10749_at","UP"
"101928323_at","DOWN"
"10870_at","UP"
"51594_at","DOWN"
"23195_at","DOWN"
"100506195_at","DOWN"
"102724775_at","DOWN"
"10155_at","UP"
"4974_at","DOWN"
"101927378_at","DOWN"
"81603_at","UP"
"55362_at","UP"
"5216_at","UP"
"677793_at","DOWN"
"79671_at","UP"
"54658_at","DOWN"
"23196_at","UP"
"55116_at","UP"
"6319_at","UP"
"56171_at","DOWN"
"100874372_at","DOWN"
"2897_at","DOWN"
"9275_at","UP"
"10930_at","DOWN"
"101929754_at","DOWN"
"55315_at","UP"
"79095_at","UP"
"54541_at","DOWN"
"157381_at","DOWN"
"259292_at","DOWN"
"57337_at","DOWN"
"2987_at","UP"
"2625_at","UP"
"81855_at","UP"
"25921_at","UP"
"90522_at","UP"
"54784_at","UP"
"6814_at","DOWN"
"9993_at","UP"
