"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"100286844_at",NA,5.55319357733333,NA,NA,NA,NA
"100286938_at",NA,4.51905623506667,NA,NA,NA,NA
"100287015_at",NA,4.97758017926667,NA,NA,NA,NA
"100287098_at",NA,5.44321608646667,NA,NA,NA,NA
"100287114_at",NA,4.66688569433333,NA,NA,NA,NA
"100287166_at",NA,4.2111882392,NA,NA,NA,NA
"100287177_at",NA,4.91900964393333,NA,NA,NA,NA
"100287216_at",NA,1.65094578753333,NA,NA,NA,NA
"100287227_at",NA,3.40708021533333,NA,NA,NA,NA
"100287366_at",NA,2.769048301,NA,NA,NA,NA
"100287387_at",NA,2.21620158973333,NA,NA,NA,NA
"100287482_at",NA,2.70901620066667,NA,NA,NA,NA
"100287569_at",NA,3.08769131506667,NA,NA,NA,NA
"100287616_at",NA,7.93963693,NA,NA,NA,NA
"100287765_at",NA,5.15625989446667,NA,NA,NA,NA
"100287808_at",NA,5.50452159646667,NA,NA,NA,NA
"100287814_at",NA,2.07478797993333,NA,NA,NA,NA
"100287877_at",NA,2.9480665686,NA,NA,NA,NA
"100287896_at",NA,5.15503265066667,NA,NA,NA,NA
"100287902_at",NA,3.43252322186667,NA,NA,NA,NA
"100287932_at",NA,10.965488042,NA,NA,NA,NA
"100288079_at",NA,2.71356370226667,NA,NA,NA,NA
"100288122_at",NA,2.46372213033333,NA,NA,NA,NA
"100288123_at",NA,5.48003915893333,NA,NA,NA,NA
"100288152_at",NA,8.325655194,NA,NA,NA,NA
"100288198_at",NA,5.52109825033333,NA,NA,NA,NA
"100288413_at",NA,9.22150707746667,NA,NA,NA,NA
"100288432_at",NA,7.27619722906667,NA,NA,NA,NA
"100288637_at",NA,7.2034260342,NA,NA,NA,NA
"100288730_at",NA,7.428341621,NA,NA,NA,NA
"100288797_at",NA,5.68644866706667,NA,NA,NA,NA
"100288801_at",NA,2.8969044576,NA,NA,NA,NA
"100288911_at",NA,7.41894009793333,NA,NA,NA,NA
"100289019_at",NA,9.12162040266667,NA,NA,NA,NA
"100289061_at",NA,3.45664916093333,NA,NA,NA,NA
"100289092_at",NA,8.00298756033333,NA,NA,NA,NA
"100289098_at",NA,5.31734289153333,NA,NA,NA,NA
"100289187_at",NA,3.731770217,NA,NA,NA,NA
"100289230_at",NA,5.866432248,NA,NA,NA,NA
"100289255_at",NA,1.99903852893333,NA,NA,NA,NA
"100289274_at",NA,3.64783276933333,NA,NA,NA,NA
"100289283_at",NA,11.2124541466667,NA,NA,NA,NA
"100289341_at",NA,5.3443966484,NA,NA,NA,NA
"100289361_at",NA,6.93229062226667,NA,NA,NA,NA
"100289373_at",NA,3.5102534376,NA,NA,NA,NA
"100289410_at",NA,4.5012294832,NA,NA,NA,NA
"100289495_at",NA,2.6666093812,NA,NA,NA,NA
"100289509_at",NA,3.86553127786667,NA,NA,NA,NA
"100289635_at",NA,9.5262767488,NA,NA,NA,NA
"100289678_at",NA,9.95782688466667,NA,NA,NA,NA
"100292680_at",NA,4.63983192273333,NA,NA,NA,NA
"100293516_at",NA,7.67691713286667,NA,NA,NA,NA
"100293704_at",NA,4.93400119866667,NA,NA,NA,NA
"100294362_at",NA,1.99181222586667,NA,NA,NA,NA
"100294720_at",NA,2.21008367946667,NA,NA,NA,NA
"1002_at",NA,4.56066219433333,NA,NA,NA,NA
"100302650_at",NA,4.57298980966667,NA,NA,NA,NA
"100302691_at",NA,3.11867587066667,NA,NA,NA,NA
"100302740_at",NA,2.9344771722,NA,NA,NA,NA
"100303728_at",NA,4.3717542552,NA,NA,NA,NA
"100303755_at",NA,10.9683929833333,NA,NA,NA,NA
"100306951_at",NA,8.53437007626667,NA,NA,NA,NA
"100309464_at",NA,2.31367513486667,NA,NA,NA,NA
"100316868_at",NA,3.10344999593333,NA,NA,NA,NA
"100316904_at",NA,6.18251741213333,NA,NA,NA,NA
"100329135_at",NA,2.02734010026667,NA,NA,NA,NA
"100359394_at",NA,2.3407719204,NA,NA,NA,NA
"10036_at",NA,8.48065966926667,NA,NA,NA,NA
"100379174_at",NA,1.48352500886667,NA,NA,NA,NA
"100379224_at",NA,1.81247493453333,NA,NA,NA,NA
"100379661_at",NA,2.8160366104,NA,NA,NA,NA
"100381270_at",NA,8.47640078006667,NA,NA,NA,NA
"10038_at",NA,10.123107612,NA,NA,NA,NA
"10039_at",NA,6.8100672314,NA,NA,NA,NA
"1003_at",NA,3.77109159113333,NA,NA,NA,NA
"10040_at",NA,9.82598014066667,NA,NA,NA,NA
"100422737_at",NA,2.79816128446667,NA,NA,NA,NA
"10042_at",NA,8.46030225313333,NA,NA,NA,NA
"10043_at",NA,6.599870426,NA,NA,NA,NA
"10044_at",NA,3.46628299846667,NA,NA,NA,NA
"10045_at",NA,5.54077588413333,NA,NA,NA,NA
"10046_at",NA,7.22729743273333,NA,NA,NA,NA
"10047_at",NA,3.623939498,NA,NA,NA,NA
"10048_at",NA,7.6187573078,NA,NA,NA,NA
"100498859_at",NA,4.33904857206667,NA,NA,NA,NA
"100499171_at",NA,2.9175059126,NA,NA,NA,NA
"100499177_at",NA,9.24585842086667,NA,NA,NA,NA
"100499194_at",NA,3.27476828706667,NA,NA,NA,NA
"100499227_at",NA,2.08923597486667,NA,NA,NA,NA
"100499466_at",NA,5.7830325066,NA,NA,NA,NA
"100499467_at",NA,7.65752891733333,NA,NA,NA,NA
"100499489_at",NA,5.15235777253333,NA,NA,NA,NA
"10049_at",NA,11.0400573386667,NA,NA,NA,NA
"1004_at",NA,7.38317458826667,NA,NA,NA,NA
"100500850_at",NA,3.88872154186667,NA,NA,NA,NA
"100505474_at",NA,2.3016355496,NA,NA,NA,NA
"100505478_at",NA,2.85416800613333,NA,NA,NA,NA
"100505483_at",NA,3.54898178806667,NA,NA,NA,NA
"100505495_at",NA,3.2991318478,NA,NA,NA,NA
"100505498_at",NA,2.49658466326667,NA,NA,NA,NA
"100505501_at",NA,8.0889596434,NA,NA,NA,NA
"100505515_at",NA,2.239493287,NA,NA,NA,NA
"100505518_at",NA,3.42465001346667,NA,NA,NA,NA
"100505536_at",NA,1.9021576264,NA,NA,NA,NA
"100505538_at",NA,4.72874220746667,NA,NA,NA,NA
"100505540_at",NA,2.06953592646667,NA,NA,NA,NA
"100505545_at",NA,1.70802535866667,NA,NA,NA,NA
"100505547_at",NA,2.89523128726667,NA,NA,NA,NA
"100505549_at",NA,5.4124303576,NA,NA,NA,NA
"100505555_at",NA,4.3882809202,NA,NA,NA,NA
"100505564_at",NA,2.10004369586667,NA,NA,NA,NA
"100505570_at",NA,3.96012056513333,NA,NA,NA,NA
"100505573_at",NA,8.21132979453333,NA,NA,NA,NA
"100505576_at",NA,2.77458032266667,NA,NA,NA,NA
"100505583_at",NA,2.47815606286667,NA,NA,NA,NA
"100505592_at",NA,5.92880407066667,NA,NA,NA,NA
"100505609_at",NA,2.00052415706667,NA,NA,NA,NA
"100505616_at",NA,8.6862321796,NA,NA,NA,NA
"100505619_at",NA,3.3431323616,NA,NA,NA,NA
"100505622_at",NA,4.94381831493333,NA,NA,NA,NA
"100505624_at",NA,4.6199951254,NA,NA,NA,NA
"100505633_at",NA,2.19967788146667,NA,NA,NA,NA
"100505641_at",NA,11.9643302413333,NA,NA,NA,NA
"100505658_at",NA,2.0748057698,NA,NA,NA,NA
"100505659_at",NA,3.3624507918,NA,NA,NA,NA
"100505664_at",NA,3.080501516,NA,NA,NA,NA
"100505666_at",NA,5.79407350526667,NA,NA,NA,NA
"100505676_at",NA,2.2376038848,NA,NA,NA,NA
"100505681_at",NA,4.64154156153333,NA,NA,NA,NA
"100505683_at",NA,4.4279446134,NA,NA,NA,NA
"100505685_at",NA,1.6595398922,NA,NA,NA,NA
"100505687_at",NA,7.37865476453333,NA,NA,NA,NA
"100505696_at",NA,4.74692229373333,NA,NA,NA,NA
"100505702_at",NA,4.6943164188,NA,NA,NA,NA
"100505710_at",NA,3.46256857533333,NA,NA,NA,NA
"100505711_at",NA,2.1688194898,NA,NA,NA,NA
"100505715_at",NA,3.73701781,NA,NA,NA,NA
"100505716_at",NA,2.48804787886667,NA,NA,NA,NA
"100505718_at",NA,2.24176207233333,NA,NA,NA,NA
"100505727_at",NA,1.9556885258,NA,NA,NA,NA
"100505735_at",NA,3.74295487346667,NA,NA,NA,NA
"100505738_at",NA,6.75833207753333,NA,NA,NA,NA
"100505741_at",NA,4.42516598006667,NA,NA,NA,NA
"100505746_at",NA,7.12359435566667,NA,NA,NA,NA
"100505761_at",NA,9.68505326686667,NA,NA,NA,NA
"100505768_at",NA,2.1234550722,NA,NA,NA,NA
"100505774_at",NA,3.23808351673333,NA,NA,NA,NA
"100505776_at",NA,1.5548506146,NA,NA,NA,NA
"100505782_at",NA,2.651025701,NA,NA,NA,NA
"100505783_at",NA,7.83646009466667,NA,NA,NA,NA
"100505784_at",NA,1.68826160986667,NA,NA,NA,NA
"100505786_at",NA,2.78661859633333,NA,NA,NA,NA
"100505794_at",NA,4.1135322396,NA,NA,NA,NA
"100505797_at",NA,3.4724664216,NA,NA,NA,NA
"100505806_at",NA,7.986207326,NA,NA,NA,NA
"100505811_at",NA,2.06302783166667,NA,NA,NA,NA
"100505812_at",NA,5.2025340408,NA,NA,NA,NA
"100505826_at",NA,5.1715993484,NA,NA,NA,NA
"100505835_at",NA,3.47248017653333,NA,NA,NA,NA
"100505839_at",NA,2.001373299,NA,NA,NA,NA
"100505841_at",NA,4.259237743,NA,NA,NA,NA
"100505851_at",NA,3.1673148152,NA,NA,NA,NA
"100505853_at",NA,3.7350866178,NA,NA,NA,NA
"100505854_at",NA,8.24711350346667,NA,NA,NA,NA
"100505862_at",NA,2.547511501,NA,NA,NA,NA
"100505865_at",NA,5.86064621893333,NA,NA,NA,NA
"100505875_at",NA,3.053684093,NA,NA,NA,NA
"100505876_at",NA,6.06948943606667,NA,NA,NA,NA
"100505877_at",NA,1.87881619813333,NA,NA,NA,NA
"100505878_at",NA,1.7322791394,NA,NA,NA,NA
"100505879_at",NA,2.55514577806667,NA,NA,NA,NA
"100505881_at",NA,8.00068877713333,NA,NA,NA,NA
"100505890_at",NA,2.15161473146667,NA,NA,NA,NA
"100505893_at",NA,2.6821121384,NA,NA,NA,NA
"100505894_at",NA,5.33238165573333,NA,NA,NA,NA
"100505912_at",NA,2.76447889793333,NA,NA,NA,NA
"100505918_at",NA,2.23260036446667,NA,NA,NA,NA
"100505920_at",NA,2.11349500993333,NA,NA,NA,NA
