"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe","Entrez","Gene"
1.04236927226646,5.21919639384694,7.15291281317388,1.46014473873978e-10,7.18335052046943e-08,13.7715413971774,"4125_at","4125","MAN2B1"
-1.19126667707419,1.59025060508163,-7.14586229263595,1.51051606531258e-10,7.29094754392953e-08,13.7391171830318,"23629_at","23629","BRD7P3"
-1.20797084192477,2.0256956675102,-7.1067168725087,1.82317782321427e-10,8.63713612471622e-08,13.559267628622,"26045_at","26045","LRRTM2"
-2.02921603117869,3.15194314363265,-7.09256264165251,1.95136913357683e-10,9.07635003184773e-08,13.4943108542977,"101928784_at","101928784","RORA-AS1"
-0.751536128764892,7.14872964577551,-7.08701457241794,2.00401977802171e-10,9.14751397653416e-08,13.4688603274404,"5295_at","5295","PIK3R1"
-1.42924056830512,2.24781852289796,-7.08349126835316,2.03818425714349e-10,9.14751397653416e-08,13.4527011119252,"5996_at","5996","RGS1"
-1.71908694969697,1.88894716991837,-7.07817710268334,2.09080936265289e-10,9.22191122679074e-08,13.428332968655,"654321_at","654321","SNORA75"
-0.545057377111807,8.27275519583674,-7.07379254366051,2.1352411970461e-10,9.25826106827681e-08,13.4082317599913,"23451_at","23451","SF3B1"
0.750009507526648,7.93693781270408,7.06704330638187,2.20547184919705e-10,9.40339680769318e-08,13.3772970505446,"84572_at","84572","GNPTG"
0.698315901231975,7.81769721133673,7.05240615184597,2.36574650989419e-10,9.92139790428085e-08,13.3102398370604,"1175_at","1175","AP2S1"
-1.28457946282863,2.95005172780612,-7.03005302064953,2.63304996092182e-10,1.08643038871455e-07,13.2079166556313,"100289230_at","100289230","LOC100289230"
2.41981708019122,9.68240330458163,7.00393296519352,2.98351620274746e-10,1.20555790721956e-07,13.0884789717457,"3043_at","3043","HBB"
-0.878614401128526,5.4716731104898,-7.00166696828693,3.01601540387976e-10,1.20555790721956e-07,13.0781239828725,"79659_at","79659","DYNC2H1"
0.950268175472311,5.66743769117347,6.97768368346536,3.38224022712332e-10,1.33114568446567e-07,12.9685921395876,"54461_at","54461","FBXW5"
-1.44770052045141,5.40046443846939,-6.97229087870074,3.47047236432328e-10,1.34517612157755e-07,12.9439796656039,"4820_at","4820","NKTR"
1.06817666443156,5.55350787927551,6.94930428243787,3.87284991442758e-10,1.47873502255054e-07,12.8391386451186,"22838_at","22838","RNF44"
-1.09269637374713,6.63340320522449,-6.93471703499413,4.15182455694594e-10,1.56194082082046e-07,12.7726647911737,"8473_at","8473","OGT"
-0.777190652489029,3.08306462444898,-6.92978735535424,4.2505318013554e-10,1.57590006583006e-07,12.7502105825126,"100289511_at","100289511","LOC100289511"
3.33288435967712,9.09876818272449,6.91905723116746,4.47348979002733e-10,1.63486879726399e-07,12.7013539317086,"3039_at","3039","HBA1"
-1.58445491150575,2.87595366335714,-6.90514153474238,4.77997128199459e-10,1.72227077938008e-07,12.6380296138052,"9481_at","9481","SLC25A27"
-1.23179515374399,5.16260291486735,-6.90219424548009,4.84750420726929e-10,1.72234517542171e-07,12.6246231547088,"84275_at","84275","SLC25A33"
-1.93442250442842,3.27814013491837,-6.8957511224111,4.99844774965307e-10,1.75164781276198e-07,12.5953216239341,"677771_at","677771","SCARNA4"
-1.18441251493835,6.87339446930612,-6.87796326415198,5.43975765070286e-10,1.84162460935479e-07,12.5144744477847,"26118_at","26118","WSB1"
-0.990506560093,1.75964336558163,-6.87679915111563,5.46994817470943e-10,1.84162460935479e-07,12.5091858837066,"100873976_at","100873976","CNTN4-AS2"
-1.6329776537743,3.72389680197959,-6.8767521739024,5.471169975411e-10,1.84162460935479e-07,12.5089724725422,"284702_at","284702","284702_at"
-1.0869599797743,1.51829316087755,-6.86330289866815,5.83231278452567e-10,1.93650315769882e-07,12.4478942343244,"101928141_at","101928141","LINC01028"
-1.5748170618255,1.40833038376531,-6.86071605275474,5.90443461420172e-10,1.93650315769882e-07,12.4361509755532,"767597_at","767597","SNORD114-19"
